"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_000269685.1","GCF_002901845.1","GCF_013267575.1","GCF_015274535.1","GCF_015274675.1","GCF_017315625.1","GCF_017315645.1","GCF_022689565.1","GCF_022689645.1","GCF_022689665.1","GCF_022689845.1","GCF_022689855.1","GCF_022689925.1","GCF_022689965.1","GCF_022689975.1","GCF_022690005.1","GCF_022690025.1","GCF_022690105.1","GCF_022690115.1","GCF_022690185.1","GCF_022690225.1","GCF_022690245.1","GCF_022690275.1","GCF_022690295.1","GCF_022690325.1","GCF_022690345.1","GCF_022690375.1","GCF_022690385.1","GCF_025143205.1","GCF_025143445.1","GCF_029926915.1","GCF_031631055.1","GCF_031727055.1","GCF_031727075.1","GCF_031727275.1","GCF_031727355.1","GCF_031727455.1","GCF_031727535.1","GCF_031728075.1","GCF_031728095.1","GCF_031728115.1","GCF_031728155.1","GCF_031728235.1","GCF_031728275.1","GCF_031728295.1","GCF_031728315.1","GCF_031728415.1","GCF_031728475.1","GCF_031728515.1","GCF_031728695.1","GCF_031728715.1","GCF_031728735.1","GCF_031728745.1","GCF_031728795.1","GCF_031728835.1","GCF_031728895.1","GCF_036420075.1","GCF_037694985.1","GCF_037700155.1","GCF_037700315.1","GCF_037700455.1","GCF_040947025.1","GCF_040947065.1","GCF_040947125.1","GCF_040947205.1","GCF_040947225.1","GCF_040947605.1","GCF_047653515.1","GCF_047653525.1","GCF_052950835.1","GCF_964211265.1"
"group_6313","","hypothetical protein","71","71","1","362","1","","","Investigate","431","431","431","GCF_00026968_02005","GCF_00290184_01056","GCF_01326757_00895","GCF_01527453_00010","GCF_01527467_00005","GCF_01731562_00251","GCF_01731564_01448","GCF_02268956_00715","GCF_02268964_00013","GCF_02268966_00144","GCF_02268984_00973","GCF_02268985_00816","GCF_02268992_00643","GCF_02268996_01912","GCF_02268997_01101","GCF_02269000_01524","GCF_02269002_00124","GCF_02269010_01318","GCF_02269011_00817","GCF_02269018_00132","GCF_02269022_00047","GCF_02269024_01383","GCF_02269027_00310","GCF_02269029_00169","GCF_02269032_00249","GCF_02269034_01177","GCF_02269037_01830","GCF_02269038_00851","GCF_02514320_00059","GCF_02514344_01886","GCF_02992691_00984","GCF_03163105_01031","GCF_03172705_01644","GCF_03172707_01603","GCF_03172727_01539","GCF_03172735_00961","GCF_03172745_01199","GCF_03172753_01650","GCF_03172807_01974","GCF_03172809_01540","GCF_03172811_00806","GCF_03172815_01221","GCF_03172823_00993","GCF_03172827_01383","GCF_03172829_01388","GCF_03172831_01632","GCF_03172841_01455","GCF_03172847_00268","GCF_03172851_01093","GCF_03172869_01485","GCF_03172871_00171","GCF_03172873_00709","GCF_03172874_01042","GCF_03172879_01498","GCF_03172883_01575","GCF_03172889_01768","GCF_03642007_01668","GCF_03769498_00438","GCF_03770015_01369","GCF_03770031_01375","GCF_03770045_01927","GCF_04094702_01877","GCF_04094706_00060","GCF_04094712_02044","GCF_04094720_01931","GCF_04094722_01685","GCF_04094760_00398","GCF_04765351_01832","GCF_04765352_00510","GCF_05295083_00920","GCF_96421126_00897"
"mnhA1","","Na(+)/H(+) antiporter subunit A1","71","71","1","649","1","","","Investigate","2402","2402","2402","GCF_00026968_01436","GCF_00290184_00356","GCF_01326757_00236","GCF_01527453_00322","GCF_01527467_00711","GCF_01731562_00417","GCF_01731564_01419","GCF_02268956_00479","GCF_02268964_00886","GCF_02268966_00443","GCF_02268984_00471","GCF_02268985_00695","GCF_02268992_01758","GCF_02268996_01260","GCF_02268997_01760","GCF_02269000_00581","GCF_02269002_00397","GCF_02269010_01057","GCF_02269011_01095","GCF_02269018_00844","GCF_02269022_00750","GCF_02269024_01103","GCF_02269027_01221","GCF_02269029_00578","GCF_02269032_00963","GCF_02269034_01566","GCF_02269037_00355","GCF_02269038_00184","GCF_02514320_00956","GCF_02514344_00430","GCF_02992691_00646","GCF_03163105_01975","GCF_03172705_00645","GCF_03172707_00215","GCF_03172727_01158","GCF_03172735_00224","GCF_03172745_00566","GCF_03172753_00894","GCF_03172807_00240","GCF_03172809_00985","GCF_03172811_01281","GCF_03172815_00979","GCF_03172823_00281","GCF_03172827_00240","GCF_03172829_01618","GCF_03172831_01254","GCF_03172841_00364","GCF_03172847_00479","GCF_03172851_00089","GCF_03172869_00412","GCF_03172871_00997","GCF_03172873_00385","GCF_03172874_00129","GCF_03172879_00952","GCF_03172883_00735","GCF_03172889_00736","GCF_03642007_00364","GCF_03769498_01565","GCF_03770015_00018","GCF_03770031_00168","GCF_03770045_00841","GCF_04094702_00999","GCF_04094706_00724","GCF_04094712_00236","GCF_04094720_01623","GCF_04094722_00682","GCF_04094760_01348","GCF_04765351_01172","GCF_04765352_01830","GCF_05295083_01588","GCF_96421126_00236"
"femA_2","","Aminoacyltransferase FemA","71","71","1","1546","1","","","Investigate","1247","1247","1247","GCF_00026968_00494","GCF_00290184_01779","GCF_01326757_01354","GCF_01527453_01747","GCF_01527467_00798","GCF_01731562_01047","GCF_01731564_00106","GCF_02268956_01608","GCF_02268964_02036","GCF_02268966_01204","GCF_02268984_01420","GCF_02268985_00907","GCF_02268992_00338","GCF_02268996_01030","GCF_02268997_00684","GCF_02269000_01041","GCF_02269002_01268","GCF_02269010_00109","GCF_02269011_01478","GCF_02269018_01287","GCF_02269022_01024","GCF_02269024_00144","GCF_02269027_01580","GCF_02269029_00851","GCF_02269032_00429","GCF_02269034_00688","GCF_02269037_01270","GCF_02269038_01664","GCF_02514320_01165","GCF_02514344_01368","GCF_02992691_01020","GCF_03163105_01907","GCF_03172705_01061","GCF_03172707_01735","GCF_03172727_00219","GCF_03172735_01104","GCF_03172745_01372","GCF_03172753_00228","GCF_03172807_00978","GCF_03172809_00034","GCF_03172811_01781","GCF_03172815_00278","GCF_03172823_00779","GCF_03172827_00527","GCF_03172829_00517","GCF_03172831_00539","GCF_03172841_00707","GCF_03172847_00789","GCF_03172851_01326","GCF_03172869_00731","GCF_03172871_00878","GCF_03172873_00107","GCF_03172874_00841","GCF_03172879_01311","GCF_03172883_00232","GCF_03172889_01116","GCF_03642007_01246","GCF_03769498_01656","GCF_03770015_01487","GCF_03770031_00603","GCF_03770045_00576","GCF_04094702_00363","GCF_04094706_01405","GCF_04094712_01181","GCF_04094720_00918","GCF_04094722_01134","GCF_04094760_01247","GCF_04765351_00324","GCF_04765352_00983","GCF_05295083_00422","GCF_96421126_01127"
"msrB","","Peptide methionine sulfoxide reductase MsrB","71","71","1","1439","1","","","Investigate","428","428","428","GCF_00026968_01972","GCF_00290184_00783","GCF_01326757_00623","GCF_01527453_01477","GCF_01527467_00277","GCF_01731562_00576","GCF_01731564_01534","GCF_02268956_01538","GCF_02268964_01952","GCF_02268966_00875","GCF_02268984_01232","GCF_02268985_01248","GCF_02268992_01527","GCF_02268996_00011","GCF_02268997_00114","GCF_02269000_00192","GCF_02269002_00836","GCF_02269010_01699","GCF_02269011_00518","GCF_02269018_00454","GCF_02269022_00356","GCF_02269024_00530","GCF_02269027_00583","GCF_02269029_00088","GCF_02269032_01120","GCF_02269034_01054","GCF_02269037_00787","GCF_02269038_01983","GCF_02514320_00331","GCF_02514344_00734","GCF_02992691_00711","GCF_03163105_00746","GCF_03172705_00227","GCF_03172707_00691","GCF_03172727_00644","GCF_03172735_01230","GCF_03172745_01887","GCF_03172753_00497","GCF_03172807_01045","GCF_03172809_01211","GCF_03172811_00209","GCF_03172815_01341","GCF_03172823_01886","GCF_03172827_00980","GCF_03172829_01489","GCF_03172831_01380","GCF_03172841_02023","GCF_03172847_01267","GCF_03172851_00570","GCF_03172869_00258","GCF_03172871_01386","GCF_03172873_01953","GCF_03172874_01203","GCF_03172879_00261","GCF_03172883_01092","GCF_03172889_00231","GCF_03642007_01942","GCF_03769498_02031","GCF_03770015_00852","GCF_03770031_00901","GCF_03770045_00233","GCF_04094702_00479","GCF_04094706_00334","GCF_04094712_00668","GCF_04094720_01091","GCF_04094722_00279","GCF_04094760_00462","GCF_04765351_01560","GCF_04765352_00235","GCF_05295083_01200","GCF_96421126_00625"
"pyrG","","CTP synthase","71","71","1","1466","1","","","Investigate","1607","1607","1607","GCF_00026968_00650","GCF_00290184_01520","GCF_01326757_01103","GCF_01527453_01274","GCF_01527467_01705","GCF_01731562_01934","GCF_01731564_00182","GCF_02268956_00768","GCF_02268964_00101","GCF_02268966_01863","GCF_02268984_00263","GCF_02268985_01961","GCF_02268992_00058","GCF_02268996_00349","GCF_02268997_00249","GCF_02269000_01843","GCF_02269002_01823","GCF_02269010_00298","GCF_02269011_00028","GCF_02269018_01892","GCF_02269022_01766","GCF_02269024_00778","GCF_02269027_01794","GCF_02269029_01944","GCF_02269032_00028","GCF_02269034_00314","GCF_02269037_01918","GCF_02269038_02055","GCF_02514320_00423","GCF_02514344_01951","GCF_02992691_01974","GCF_03163105_00355","GCF_03172705_01731","GCF_03172707_01545","GCF_03172727_01730","GCF_03172735_01894","GCF_03172745_01979","GCF_03172753_01690","GCF_03172807_01720","GCF_03172809_01586","GCF_03172811_01829","GCF_03172815_01898","GCF_03172823_01522","GCF_03172827_01448","GCF_03172829_01531","GCF_03172831_01317","GCF_03172841_01566","GCF_03172847_01179","GCF_03172851_01993","GCF_03172869_01571","GCF_03172871_01752","GCF_03172873_01946","GCF_03172874_01557","GCF_03172879_01538","GCF_03172883_01638","GCF_03172889_01879","GCF_03642007_01462","GCF_03769498_00109","GCF_03770015_01412","GCF_03770031_01753","GCF_03770045_01635","GCF_04094702_01586","GCF_04094706_01872","GCF_04094712_01729","GCF_04094720_01234","GCF_04094722_01751","GCF_04094760_01412","GCF_04765351_00053","GCF_04765352_00720","GCF_05295083_00664","GCF_96421126_01762"
"pyrE","","Orotate phosphoribosyltransferase","71","71","1","376","1","","","Investigate","608","608","608","GCF_00026968_00031","GCF_00290184_00590","GCF_01326757_00429","GCF_01527453_00634","GCF_01527467_00468","GCF_01731562_01660","GCF_01731564_01725","GCF_02268956_01129","GCF_02268964_00623","GCF_02268966_00682","GCF_02268984_00707","GCF_02268985_00505","GCF_02268992_00806","GCF_02268996_00578","GCF_02268997_01364","GCF_02269000_00385","GCF_02269002_00642","GCF_02269010_01483","GCF_02269011_00414","GCF_02269018_00647","GCF_02269022_00551","GCF_02269024_00989","GCF_02269027_01316","GCF_02269029_00342","GCF_02269032_00718","GCF_02269034_00230","GCF_02269037_00595","GCF_02269038_00637","GCF_02514320_01313","GCF_02514344_00185","GCF_02992691_00455","GCF_03163105_00437","GCF_03172705_00034","GCF_03172707_00014","GCF_03172727_00451","GCF_03172735_00423","GCF_03172745_00178","GCF_03172753_00691","GCF_03172807_00432","GCF_03172809_00451","GCF_03172811_00677","GCF_03172815_00064","GCF_03172823_00118","GCF_03172827_00578","GCF_03172829_00122","GCF_03172831_00125","GCF_03172841_00130","GCF_03172847_00156","GCF_03172851_00378","GCF_03172869_00065","GCF_03172871_00325","GCF_03172873_00962","GCF_03172874_00323","GCF_03172879_00459","GCF_03172883_00543","GCF_03172889_00037","GCF_03642007_00110","GCF_03769498_01251","GCF_03770015_00913","GCF_03770031_00384","GCF_03770045_00039","GCF_04094702_00100","GCF_04094706_00527","GCF_04094712_00475","GCF_04094720_00372","GCF_04094722_00476","GCF_04094760_00774","GCF_04765351_01367","GCF_04765352_00044","GCF_05295083_01396","GCF_96421126_00432"
"rpsN2","","Alternate 30S ribosomal protein S14","71","71","1","978","1","","","Investigate","269","269","269","GCF_00026968_00149","GCF_00290184_00709","GCF_01326757_00547","GCF_01527453_01782","GCF_01527467_00350","GCF_01731562_00908","GCF_01731564_01607","GCF_02268956_01247","GCF_02268964_00504","GCF_02268966_00800","GCF_02268984_01863","GCF_02268985_01322","GCF_02268992_00773","GCF_02268996_00460","GCF_02268997_00554","GCF_02269000_00267","GCF_02269002_00760","GCF_02269010_01082","GCF_02269011_01619","GCF_02269018_00529","GCF_02269022_00433","GCF_02269024_00205","GCF_02269027_00656","GCF_02269029_00224","GCF_02269032_01195","GCF_02269034_01127","GCF_02269037_00713","GCF_02269038_00755","GCF_02514320_00404","GCF_02514344_00067","GCF_02992691_00337","GCF_03163105_00669","GCF_03172705_00152","GCF_03172707_01335","GCF_03172727_00569","GCF_03172735_01851","GCF_03172745_00994","GCF_03172753_00573","GCF_03172807_00550","GCF_03172809_00569","GCF_03172811_00255","GCF_03172815_01291","GCF_03172823_02041","GCF_03172827_01205","GCF_03172829_00240","GCF_03172831_00243","GCF_03172841_00012","GCF_03172847_00038","GCF_03172851_00496","GCF_03172869_00183","GCF_03172871_01083","GCF_03172873_00819","GCF_03172874_00441","GCF_03172879_00336","GCF_03172883_00426","GCF_03172889_00155","GCF_03642007_02016","GCF_03769498_01369","GCF_03770015_00779","GCF_03770031_00826","GCF_03770045_00158","GCF_04094702_01394","GCF_04094706_00409","GCF_04094712_00593","GCF_04094720_00254","GCF_04094722_00354","GCF_04094760_00619","GCF_04765351_01486","GCF_04765352_00162","GCF_05295083_01277","GCF_96421126_00550"
"uvrA_1","","UvrABC system protein A","71","71","1","150","1","","","Investigate","2840","2840","2840","GCF_00026968_01514","GCF_00290184_00281","GCF_01326757_00161","GCF_01527453_00399","GCF_01527467_01149","GCF_01731562_00938","GCF_01731564_01340","GCF_02268956_00555","GCF_02268964_00961","GCF_02268966_00368","GCF_02268984_00106","GCF_02268985_00770","GCF_02268992_00582","GCF_02268996_01184","GCF_02268997_00469","GCF_02269000_00657","GCF_02269002_00322","GCF_02269010_00981","GCF_02269011_01803","GCF_02269018_00920","GCF_02269022_00828","GCF_02269024_01885","GCF_02269027_01145","GCF_02269029_00654","GCF_02269032_01257","GCF_02269034_01342","GCF_02269037_00280","GCF_02269038_01925","GCF_02514320_00880","GCF_02514344_00505","GCF_02992691_01238","GCF_03163105_00946","GCF_03172705_00720","GCF_03172707_00291","GCF_03172727_00943","GCF_03172735_00148","GCF_03172745_00486","GCF_03172753_00969","GCF_03172807_00162","GCF_03172809_01780","GCF_03172811_01108","GCF_03172815_00652","GCF_03172823_00359","GCF_03172827_00160","GCF_03172829_00763","GCF_03172831_01178","GCF_03172841_00439","GCF_03172847_00555","GCF_03172851_00012","GCF_03172869_00337","GCF_03172871_00652","GCF_03172873_01779","GCF_03172874_00052","GCF_03172879_01027","GCF_03172883_01316","GCF_03172889_00661","GCF_03642007_00442","GCF_03769498_01489","GCF_03770015_00095","GCF_03770031_00092","GCF_03770045_00766","GCF_04094702_00691","GCF_04094706_00805","GCF_04094712_00161","GCF_04094720_00495","GCF_04094722_00757","GCF_04094760_00034","GCF_04765351_01093","GCF_04765352_01752","GCF_05295083_01666","GCF_96421126_00161"
"alsT","","Amino-acid carrier protein AlsT","71","71","1","483","1","","","Investigate","1460","1460","1460","GCF_00026968_00167","GCF_00290184_00729","GCF_01326757_00568","GCF_01527453_01912","GCF_01527467_00332","GCF_01731562_00698","GCF_01731564_01589","GCF_02268956_00333","GCF_02268964_00485","GCF_02268966_00820","GCF_02268984_01881","GCF_02268985_01302","GCF_02268992_01222","GCF_02268996_00066","GCF_02268997_00536","GCF_02269000_00247","GCF_02269002_00780","GCF_02269010_00348","GCF_02269011_01637","GCF_02269018_00509","GCF_02269022_00413","GCF_02269024_00475","GCF_02269027_00638","GCF_02269029_00206","GCF_02269032_01175","GCF_02269034_01109","GCF_02269037_00733","GCF_02269038_00773","GCF_02514320_00386","GCF_02514344_00679","GCF_02992691_00319","GCF_03163105_00690","GCF_03172705_00172","GCF_03172707_00746","GCF_03172727_00589","GCF_03172735_01783","GCF_03172745_01684","GCF_03172753_00553","GCF_03172807_00568","GCF_03172809_00589","GCF_03172811_00237","GCF_03172815_01273","GCF_03172823_01614","GCF_03172827_01225","GCF_03172829_01790","GCF_03172831_00261","GCF_03172841_01665","GCF_03172847_00020","GCF_03172851_00515","GCF_03172869_00203","GCF_03172871_01063","GCF_03172873_00801","GCF_03172874_00459","GCF_03172879_00316","GCF_03172883_01037","GCF_03172889_00176","GCF_03642007_01998","GCF_03769498_01387","GCF_03770015_00797","GCF_03770031_00846","GCF_03770045_00178","GCF_04094702_01376","GCF_04094706_00389","GCF_04094712_00613","GCF_04094720_00236","GCF_04094722_00334","GCF_04094760_00637","GCF_04765351_01504","GCF_04765352_00180","GCF_05295083_01255","GCF_96421126_00570"
"cysI","","Sulfite reductase [NADPH] hemoprotein beta-component","71","71","1","386","1","","","Investigate","1721","1721","1721","GCF_00026968_01004","GCF_00290184_01940","GCF_01326757_01518","GCF_01527453_00302","GCF_01527467_00966","GCF_01731562_01264","GCF_01731564_00575","GCF_02268956_01327","GCF_02268964_01798","GCF_02268966_01039","GCF_02268984_00198","GCF_02268985_01079","GCF_02268992_00533","GCF_02268996_01512","GCF_02268997_00847","GCF_02269000_01202","GCF_02269002_01104","GCF_02269010_01666","GCF_02269011_00864","GCF_02269018_01449","GCF_02269022_01185","GCF_02269024_00407","GCF_02269027_00010","GCF_02269029_01016","GCF_02269032_00272","GCF_02269034_00391","GCF_02269037_01105","GCF_02269038_00411","GCF_02514320_01006","GCF_02514344_01280","GCF_02992691_01185","GCF_03163105_00123","GCF_03172705_01468","GCF_03172707_00907","GCF_03172727_00379","GCF_03172735_00604","GCF_03172745_00447","GCF_03172753_00392","GCF_03172807_00813","GCF_03172809_00201","GCF_03172811_00385","GCF_03172815_01369","GCF_03172823_00941","GCF_03172827_01620","GCF_03172829_00888","GCF_03172831_01158","GCF_03172841_01099","GCF_03172847_01101","GCF_03172851_01162","GCF_03172869_00566","GCF_03172871_01838","GCF_03172873_00147","GCF_03172874_01679","GCF_03172879_01148","GCF_03172883_00053","GCF_03172889_00952","GCF_03642007_01077","GCF_03769498_01902","GCF_03770015_00465","GCF_03770031_01000","GCF_03770045_01194","GCF_04094702_01690","GCF_04094706_01241","GCF_04094712_01344","GCF_04094720_01166","GCF_04094722_01294","GCF_04094760_00686","GCF_04765351_00489","GCF_04765352_01153","GCF_05295083_00255","GCF_96421126_00961"
"hemB","","Delta-aminolevulinic acid dehydratase","71","71","1","1126","1","","","Investigate","974","974","974","GCF_00026968_01774","GCF_00290184_00982","GCF_01326757_00822","GCF_01527453_00090","GCF_01527467_00079","GCF_01731562_01805","GCF_01731564_00853","GCF_02268956_01823","GCF_02268964_01589","GCF_02268966_01585","GCF_02268984_01693","GCF_02268985_01585","GCF_02268992_00690","GCF_02268996_01335","GCF_02268997_01167","GCF_02269000_01599","GCF_02269002_01034","GCF_02269010_01392","GCF_02269011_00716","GCF_02269018_00256","GCF_02269022_00153","GCF_02269024_00021","GCF_02269027_00384","GCF_02269029_01271","GCF_02269032_01529","GCF_02269034_00074","GCF_02269037_00986","GCF_02269038_01080","GCF_02514320_00133","GCF_02514344_00931","GCF_02992691_00910","GCF_03163105_01643","GCF_03172705_00426","GCF_03172707_00492","GCF_03172727_01368","GCF_03172735_01056","GCF_03172745_00038","GCF_03172753_01192","GCF_03172807_00632","GCF_03172809_01683","GCF_03172811_00010","GCF_03172815_01146","GCF_03172823_01331","GCF_03172827_01151","GCF_03172829_00404","GCF_03172831_00434","GCF_03172841_00828","GCF_03172847_00342","GCF_03172851_00772","GCF_03172869_01652","GCF_03172871_00097","GCF_03172873_00922","GCF_03172874_00968","GCF_03172879_00063","GCF_03172883_01501","GCF_03172889_00430","GCF_03642007_01743","GCF_03769498_00676","GCF_03770015_01046","GCF_03770031_01253","GCF_03770045_00432","GCF_04094702_01221","GCF_04094706_00135","GCF_04094712_00866","GCF_04094720_00784","GCF_04094722_00062","GCF_04094760_01082","GCF_04765351_01758","GCF_04765352_00436","GCF_05295083_01001","GCF_96421126_00823"
"rpsF","","30S ribosomal protein S6","71","71","1","1221","1","","","Investigate","296","296","296","GCF_00026968_01242","GCF_00290184_01195","GCF_01326757_01786","GCF_01527453_00465","GCF_01527467_01402","GCF_01731562_00809","GCF_01731564_00959","GCF_02268956_00834","GCF_02268964_01697","GCF_02268966_01692","GCF_02268984_00028","GCF_02268985_00054","GCF_02268992_01139","GCF_02268996_00109","GCF_02268997_00177","GCF_02269000_01473","GCF_02269002_01628","GCF_02269010_01252","GCF_02269011_01316","GCF_02269018_01608","GCF_02269022_01441","GCF_02269024_01756","GCF_02269027_00723","GCF_02269029_01778","GCF_02269032_01851","GCF_02269034_01493","GCF_02269037_01351","GCF_02269038_01464","GCF_02514320_01424","GCF_02514344_01675","GCF_02992691_01658","GCF_03163105_01746","GCF_03172705_01887","GCF_03172707_01049","GCF_03172727_01275","GCF_03172735_00780","GCF_03172745_00681","GCF_03172753_01447","GCF_03172807_01370","GCF_03172809_01445","GCF_03172811_01731","GCF_03172815_00741","GCF_03172823_00519","GCF_03172827_00734","GCF_03172829_00957","GCF_03172831_01029","GCF_03172841_01190","GCF_03172847_01962","GCF_03172851_01728","GCF_03172869_00979","GCF_03172871_01818","GCF_03172873_01447","GCF_03172874_00512","GCF_03172879_00543","GCF_03172883_00812","GCF_03172889_01554","GCF_03642007_00771","GCF_03769498_00856","GCF_03770015_00606","GCF_03770031_01479","GCF_03770045_01592","GCF_04094702_00805","GCF_04094706_01794","GCF_04094712_01449","GCF_04094720_00044","GCF_04094722_01484","GCF_04094760_01502","GCF_04765351_00780","GCF_04765352_01434","GCF_05295083_01959","GCF_96421126_01357"
"ctaB2","","Protoheme IX farnesyltransferase 2","71","71","1","187","1","","","Investigate","911","911","911","GCF_00026968_01301","GCF_00290184_00526","GCF_01326757_00367","GCF_01527453_00700","GCF_01527467_00526","GCF_01731562_01602","GCF_01731564_01782","GCF_02268956_01066","GCF_02268964_00685","GCF_02268966_00620","GCF_02268984_00764","GCF_02268985_00566","GCF_02268992_00868","GCF_02268996_00685","GCF_02268997_01624","GCF_02269000_00446","GCF_02269002_00526","GCF_02269010_00671","GCF_02269011_00964","GCF_02269018_00709","GCF_02269022_00615","GCF_02269024_00932","GCF_02269027_01243","GCF_02269029_00400","GCF_02269032_00786","GCF_02269034_00158","GCF_02269037_00483","GCF_02269038_00576","GCF_02514320_01371","GCF_02514344_00249","GCF_02992691_00511","GCF_03163105_00854","GCF_03172705_00516","GCF_03172707_00079","GCF_03172727_01029","GCF_03172735_00360","GCF_03172745_00285","GCF_03172753_00765","GCF_03172807_00375","GCF_03172809_00388","GCF_03172811_00735","GCF_03172815_00006","GCF_03172823_00052","GCF_03172827_01744","GCF_03172829_00065","GCF_03172831_00064","GCF_03172841_00192","GCF_03172847_00219","GCF_03172851_00313","GCF_03172869_00003","GCF_03172871_00263","GCF_03172873_01218","GCF_03172874_00265","GCF_03172879_01868","GCF_03172883_00600","GCF_03172889_00919","GCF_03642007_00185","GCF_03769498_00009","GCF_03770015_01544","GCF_03770031_00303","GCF_03770045_00975","GCF_04094702_00206","GCF_04094706_00592","GCF_04094712_00413","GCF_04094720_00429","GCF_04094722_00552","GCF_04094760_00841","GCF_04765351_01309","GCF_04765352_02011","GCF_05295083_01455","GCF_96421126_00370"
"hisC_1","","Histidinol-phosphate aminotransferase","71","71","1","1427","1","","","Investigate","1055","1055","1055","GCF_00026968_01547","GCF_00290184_00248","GCF_01326757_00128","GCF_01527453_01996","GCF_01527467_01116","GCF_01731562_01159","GCF_01731564_01307","GCF_02268956_00588","GCF_02268964_00994","GCF_02268966_00335","GCF_02268984_00073","GCF_02268985_00803","GCF_02268992_01090","GCF_02268996_01151","GCF_02268997_01411","GCF_02269000_00690","GCF_02269002_00289","GCF_02269010_00948","GCF_02269011_01770","GCF_02269018_00953","GCF_02269022_00862","GCF_02269024_01918","GCF_02269027_01112","GCF_02269029_00687","GCF_02269032_01290","GCF_02269034_01375","GCF_02269037_00247","GCF_02269038_01892","GCF_02514320_00847","GCF_02514344_00538","GCF_02992691_01271","GCF_03163105_01057","GCF_03172705_00753","GCF_03172707_00324","GCF_03172727_00910","GCF_03172735_00115","GCF_03172745_00797","GCF_03172753_01003","GCF_03172807_00129","GCF_03172809_01243","GCF_03172811_01141","GCF_03172815_00619","GCF_03172823_00392","GCF_03172827_00127","GCF_03172829_00730","GCF_03172831_01657","GCF_03172841_00472","GCF_03172847_00588","GCF_03172851_01553","GCF_03172869_00303","GCF_03172871_00685","GCF_03172873_00529","GCF_03172874_00019","GCF_03172879_01060","GCF_03172883_01349","GCF_03172889_00628","GCF_03642007_00475","GCF_03769498_01456","GCF_03770015_00128","GCF_03770031_00059","GCF_03770045_01410","GCF_04094702_00724","GCF_04094706_00838","GCF_04094712_00128","GCF_04094720_00528","GCF_04094722_00790","GCF_04094760_00067","GCF_04765351_01059","GCF_04765352_01718","GCF_05295083_01699","GCF_96421126_00128"
"rlmG","","Ribosomal RNA large subunit methyltransferase G","71","71","1","987","1","","","Investigate","608","608","608","GCF_00026968_00864","GCF_00290184_00088","GCF_01326757_01893","GCF_01527453_01406","GCF_01527467_01775","GCF_01731562_00053","GCF_01731564_00546","GCF_02268956_00181","GCF_02268964_00357","GCF_02268966_02001","GCF_02268984_00536","GCF_02268985_00220","GCF_02268992_00131","GCF_02268996_00283","GCF_02268997_00592","GCF_02269000_01971","GCF_02269002_01948","GCF_02269010_00247","GCF_02269011_00284","GCF_02269018_01995","GCF_02269022_01895","GCF_02269024_00755","GCF_02269027_00078","GCF_02269029_00024","GCF_02269032_00157","GCF_02269034_00782","GCF_02269037_01994","GCF_02269038_00311","GCF_02514320_00510","GCF_02514344_02000","GCF_02992691_00079","GCF_03163105_00330","GCF_03172705_01923","GCF_03172707_01686","GCF_03172727_01823","GCF_03172735_01631","GCF_03172745_01074","GCF_03172753_01885","GCF_03172807_01849","GCF_03172809_01882","GCF_03172811_01446","GCF_03172815_01428","GCF_03172823_01653","GCF_03172827_01557","GCF_03172829_01717","GCF_03172831_01438","GCF_03172841_01618","GCF_03172847_01519","GCF_03172851_02178","GCF_03172869_01804","GCF_03172871_01450","GCF_03172873_01005","GCF_03172874_01499","GCF_03172879_01745","GCF_03172883_01752","GCF_03172889_01928","GCF_03642007_00645","GCF_03769498_00160","GCF_03770015_00297","GCF_03770031_01802","GCF_03770045_01832","GCF_04094702_01719","GCF_04094706_01927","GCF_04094712_01906","GCF_04094720_01498","GCF_04094722_01866","GCF_04094760_01655","GCF_04765351_00885","GCF_04765352_01542","GCF_05295083_01854","GCF_96421126_01894"
